Autor;Emenda;UO (Ajustada);Funcional;Ação + Subtítulo;Valor aprovado;Empenhado;Depesa Executada;Pago
ABEL MESQUITA JR.;30300001-2017;MINISTÉRIO DA DEFESA;05.244.2058.1211.0014;NO ESTADO DE RORAIMA;2459769;2459769;0;0
ABEL MESQUITA JR.;30300002-2017;FUNDAÇÃO NACIONAL DE SAÚDE;10.512.2068.7652.0014;NO ESTADO DE RORAIMA;2500000;2011477;0;0
ABEL MESQUITA JR.;30300003-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.6148.0001;NACIONAL;100000;100000;0;0
ABEL MESQUITA JR.;30300004-2017;FUNDAÇÃO NACIONAL DE SAÚDE;10.511.2068.7656.0014;NO ESTADO DE RORAIMA;5059769;3850000;0;0
ABEL MESQUITA JR.;30300005-2017;SUPERINTENDÊNCIA DO DESENVOLVIMENTO DA AMAZÔNIA - SUDAM;15.244.2029.7K66.0014;NO ESTADO DE RORAIMA;5000000;1500000;0;0
ABEL MESQUITA JR.;30300006-2017;TRIBUNAL REGIONAL ELEITORAL DE RORAIMA;02.122.0570.20GP.0014;NO ESTADO DE RORAIMA;100000;0;0;0
ABEL MESQUITA JR.;30300007-2017;JUSTIÇA FEDERAL DE PRIMEIRO GRAU;02.061.0569.4257.0014;NO ESTADO DE RORAIMA;100000;100000;100000;100000
ABEL MESQUITA JR.;30300001-2016;MINISTÉRIO DA DEFESA;05.244.2058.1211.0014;NO ESTADO DE RORAIMA;6471218;6471218;6471218;0
ABEL MESQUITA JR.;30300002-2016;SUPERINTENDÊNCIA DO DESENVOLVIMENTO DA AMAZÔNIA - SUDAM;15.244.2029.7K66.0014;NO ESTADO DE RORAIMA;1200000;342143;342143;342143
ABEL MESQUITA JR.;30300003-2016;FUNDAÇÃO NACIONAL DE SAÚDE;10.512.2068.3883.0014;NO ESTADO DE RORAIMA;7471218;6713361;6713361;0
ABEL MESQUITA JR.;30300004-2016;FUNDO NACIONAL DE SAÚDE;10.302.2015.6148.0001;NACIONAL;200000;100000;100000;100000
ABELARDO CAMARINHA;21640001-2015;MINISTÉRIO DAS CIDADES;17.512.2040.10SG.3779;NO MUNICÍPIO DE PEDERNEIRAS - SP;250000;0;0;0
