Autor;Emenda;UO (Ajustada);Funcional;Ação + Subtítulo;Valor aprovado;Empenhado;Depesa Executada;Pago
ABEL MESQUITA JR.;30300002-2017;FUNDAÇÃO NACIONAL DE SAÚDE;10.512.2068.7652.0014;NO ESTADO DE RORAIMA;0;400000;0;0
ABEL MESQUITA JR.;30300003-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.6148.0001;NACIONAL;0;100000;0;0
ABEL MESQUITA JR.;30300004-2017;FUNDAÇÃO NACIONAL DE SAÚDE;10.511.2068.7656.0014;NO ESTADO DE RORAIMA;0;3850000;0;0
ABEL MESQUITA JR.;30300007-2017;JUSTIÇA FEDERAL DE PRIMEIRO GRAU;02.061.0569.4257.0014;NO ESTADO DE RORAIMA;0;0;8851;8851
ACIR GURGACZ;26330001-2016;MINISTÉRIO DA DEFESA;05.244.2058.1211.0011;NO ESTADO DE RONDÔNIA;0;0;0;894000
ADAIL CARNEIRO;30310008-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0023;NO ESTADO DO CEARÁ;0;1000000;0;0
ADAIL CARNEIRO;30310013-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0023;NO ESTADO DO CEARÁ;0;429970;0;0
ADAIL CARNEIRO;30310015-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0023;NO ESTADO DO CEARÁ;0;250000;0;0
ADAIL CARNEIRO;30310017-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0023;NO ESTADO DO CEARÁ;0;1000000;0;0
ADAIL CARNEIRO;30310018-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0023;NO ESTADO DO CEARÁ;0;500000;0;0
ADAIL CARNEIRO;30310019-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0023;NO ESTADO DO CEARÁ;0;159769;0;0
ADAIL CARNEIRO;30310006-2017;FUNDO NACIONAL DE SAÚDE;10.122.2015.4525.0023;NO ESTADO DO CEARÁ;0;500000;0;0
ADALBERTO CAVALCANTI;30320003-2017;COMPANHIA DE DESENVOLVIMENTO DOS VALES DO SÃO FRANCISCO E DO PARNAÍBA - CODEVASF;15.244.2029.7K66.0026;NO ESTADO DE PERNAMBUCO;0;3227171;0;0
ADALBERTO CAVALCANTI;30320005-2017;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.0026;NO ESTADO DE PERNAMBUCO;0;3613980;0;0
ADALBERTO CAVALCANTI;30320007-2017;TRIBUNAL REGIONAL ELEITORAL DE PERNAMBUCO;02.122.0570.20GP.0026;NO ESTADO DE PERNAMBUCO;0;0;7260;7260
ADALBERTO CAVALCANTI;30320005-2016;COMPANHIA DE DESENVOLVIMENTO DOS VALES DO SÃO FRANCISCO E DO PARNAÍBA - CODEVASF;15.244.2029.7K66.0026;NO ESTADO DE PERNAMBUCO;0;0;0;245387
ADELMO CARNEIRO LEÃO;30330001-2017;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.0031;NO ESTADO DE MINAS GERAIS;0;1199910;0;0
ADELMO CARNEIRO LEÃO;30330002-2017;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.0031;NO ESTADO DE MINAS GERAIS;0;613060;0;0
ADELMO CARNEIRO LEÃO;30330003-2017;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.0031;NO ESTADO DE MINAS GERAIS;0;750000;0;0
ADELMO CARNEIRO LEÃO;30330004-2017;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0031;NO ESTADO DE MINAS GERAIS;0;500000;0;0
ADELMO CARNEIRO LEÃO;30330007-2017;COMPANHIA DE DESENVOLVIMENTO DOS VALES DO SÃO FRANCISCO E DO PARNAÍBA - CODEVASF;15.244.2029.7K66.0031;NO ESTADO DE MINAS GERAIS;0;53254;0;0
ADELMO CARNEIRO LEÃO;30330007-2016;FUNDO NACIONAL DE SAÚDE;10.301.2015.8581.0031;NO ESTADO DE MINAS GERAIS;0;0;0;999800
ADELMO CARNEIRO LEÃO;30330008-2016;FUNDO NACIONAL DE SAÚDE;10.302.2015.8535.0031;NO ESTADO DE MINAS GERAIS;0;0;0;650000
ADELMO CARNEIRO LEÃO;30330011-2016;MINISTÉRIO DO DESENVOLVIMENTO SOCIAL E COMBATE À FOME;08.306.2069.215I.0031;NO ESTADO DE MINAS GERAIS;0;0;0;175609
